No.	Time	Source	Destination	Protocol	Length	Info
7994	45.876295700	192.168.50.145	162.254.198.101	UDP	845	47488 → 27028 Len=803
7995	45.889718000	162.254.198.101	192.168.50.145	UDP	1192	27028 → 47488 Len=1150
7996	45.892454200	192.168.50.145	162.254.198.101	UDP	811	47488 → 27028 Len=769
7997	45.905895800	162.254.198.101	192.168.50.145	UDP	1182	27028 → 47488 Len=1140
7998	45.908086000	192.168.50.145	162.254.198.101	UDP	809	47488 → 27028 Len=767
7999	45.921361700	162.254.198.101	192.168.50.145	UDP	1220	27028 → 47488 Len=1178
8000	45.924240800	192.168.50.145	162.254.198.101	UDP	773	47488 → 27028 Len=731
8001	45.937050800	162.254.198.101	192.168.50.145	UDP	1288	27028 → 47488 Len=1246
8002	45.941749000	192.168.50.145	162.254.198.101	UDP	804	47488 → 27028 Len=762
8003	45.952803600	162.254.198.101	192.168.50.145	UDP	1261	27028 → 47488 Len=1219
8004	45.956355600	192.168.50.145	162.254.198.101	UDP	836	47488 → 27028 Len=794
8008	45.968784000	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
8009	45.968785200	162.254.198.101	192.168.50.145	UDP	159	27028 → 47488 Len=117
8010	45.975989600	192.168.50.145	162.254.198.101	UDP	867	47488 → 27028 Len=825
8011	45.978740300	192.168.50.145	239.255.255.250	SSDP	212	M-SEARCH * HTTP/1.1 
8012	45.983776900	162.254.198.101	192.168.50.145	UDP	1201	27028 → 47488 Len=1159
8013	45.988690700	192.168.50.145	162.254.198.101	UDP	903	47488 → 27028 Len=861
8014	45.999359400	162.254.198.101	192.168.50.145	UDP	1163	27028 → 47488 Len=1121
8015	46.006454100	192.168.50.145	162.254.198.101	UDP	878	47488 → 27028 Len=836
8016	46.015000200	162.254.198.101	192.168.50.145	UDP	1116	27028 → 47488 Len=1074
8017	46.022698300	192.168.50.145	162.254.198.101	UDP	879	47488 → 27028 Len=837
